index,player,nation,pos,squad,age,born,avg_90s_played,sca,Sca_90,pass_live,pass_dead,to,sh,fld,def,gca,Gca_90,pass_live_goa,pass_dead_goal,to_goal,sh_goal,fld_goal,def_goal,unique_id
244,Curtis Jones,eng ENG,MFFW,Liverpool,22-016,2001,2.1,9,4.29,6,0,1,1,0,1,0,0,0,0,0,0,0,0,4fb9c88f
245,Jorginho,it ITA,MF,Arsenal,31-057,1991,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45db685d
246,Jorginho,it ITA,MF,Chelsea,31-057,1991,14.2,29,2.04,29,0,0,0,0,0,2,0.14,2,0,0,0,0,0,45db685d
247,Diogo Jota,pt POR,FWMF,Liverpool,26-073,1996,2.4,7,2.9,6,0,0,1,0,0,1,0.41,1,0,0,0,0,0,178ae8f8
248,Hamed Junior Traorè,ci CIV,FW,Bournemouth,22-364,2000,1.7,6,3.6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,570bb4b9
249,James Justin,eng ENG,DF,Leicester City,24-357,1998,13.9,21,1.51,17,0,2,0,2,0,2,0.14,0,0,1,0,1,0,fb614c44
250,Mathias Jørgensen,dk DEN,DF,Brentford,32-298,1990,8.3,3,0.36,2,1,0,0,0,0,1,0.12,0,1,0,0,0,0,0db5d2c8
251,Sasa Kalajdzic,at AUT,FW,Wolves,25-223,1997,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15f24fe7
252,Boubacar Kamara,fr FRA,MF,Aston Villa,23-084,1999,14.3,19,1.33,15,0,1,0,3,0,3,0.21,1,0,1,0,1,0,cc77354e
253,Harry Kane,eng ENG,FW,Tottenham,29-202,1993,22.8,84,3.68,57,2,7,8,7,3,9,0.39,6,0,0,2,1,0,21a66f6a
254,N'Golo Kanté,fr FRA,MF,Chelsea,31-323,1991,1.9,7,3.64,7,0,0,0,0,0,1,0.52,1,0,0,0,0,0,b9fbae28
255,Michael Keane,eng ENG,DF,Everton,30-035,1993,0.3,1,3.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,c5b7c315
256,Neeskens Kebano,cd COD,FW,Fulham,30-342,1992,7.9,21,2.65,16,0,0,2,3,0,5,0.63,4,0,0,1,0,0,18b999f4
257,Thilo Kehrer,de GER,DF,West Ham,26-147,1996,16.5,15,0.91,10,2,0,3,0,0,2,0.12,1,0,0,1,0,0,51dbeea9
258,Naby Keïta,gn GUI,MF,Liverpool,28-005,1995,2.8,11,3.98,9,0,0,2,0,0,0,0,0,0,0,0,0,0,f25c8e3a
259,Lloyd Kelly,eng ENG,DF,Bournemouth,24-132,1998,10,4,0.4,3,1,0,0,0,0,2,0.2,2,0,0,0,0,0,f31def1e
260,Max Kilman,eng ENG,DF,Wolves,25-268,1997,22,13,0.59,12,0,0,1,0,0,2,0.09,1,0,0,1,0,0,d0f72bf1
261,Mateusz Klich,pl POL,MFFW,Leeds United,32-247,1990,3.1,7,2.26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,282679b4
262,Robin Koch,de GER,DF,Leeds United,26-213,1996,20.5,6,0.29,4,1,0,1,0,0,0,0,0,0,0,0,0,0,ea6bc03a
263,Ibrahima Konaté,fr FRA,DF,Liverpool,23-266,1999,4.2,4,0.94,3,0,0,1,0,0,0,0,0,0,0,0,0,0,5ed9b537
264,Ezri Konsa,eng ENG,DF,Aston Villa,25-115,1997,20.9,7,0.33,7,0,0,0,0,0,1,0.05,1,0,0,0,0,0,0313a347
265,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-240,1991,12.4,16,1.29,13,0,0,1,0,2,2,0.16,2,0,0,0,0,0,da974c7b
266,Cheikhou Kouyaté,sn SEN,MFDF,Nott'ham Forest,33-056,1989,7.8,7,0.89,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8d3c902d
267,Mateo Kovačić,hr CRO,MF,Chelsea,28-285,1994,9.3,28,3.02,24,1,0,3,0,0,2,0.22,2,0,0,0,0,0,79c0821a
268,Emil Krafth,se SWE,DF,Newcastle Utd,28-197,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77cf6852
269,Dejan Kulusevski,se SWE,MFFW,Tottenham,22-296,2000,12.6,52,4.13,43,1,8,0,0,0,8,0.64,7,0,1,0,0,0,df3cda47
270,Layvin Kurzawa,fr FRA,DF,Fulham,30-164,1992,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41e7ef1c
271,Adam Lallana,eng ENG,MFFW,Brighton,34-281,1988,8,22,2.75,22,0,0,0,0,0,2,0.25,2,0,0,0,0,0,99813635
272,Tariq Lamptey,gh GHA,DF,Brighton,22-138,2000,4.5,12,2.64,11,0,0,0,1,0,0,0,0,0,0,0,0,0,f4e433d4
273,Manuel Lanzini,ar ARG,MFFW,West Ham,30-000,1993,1.4,2,1.43,1,0,0,1,0,0,0,0,0,0,0,0,0,0,26f6dca8
274,Aymeric Laporte,es ESP,DF,Manchester City,28-264,1994,5.2,5,0.97,5,0,0,0,0,0,0,0,0,0,0,0,0,0,119b9a8e
275,Juan Larios,es ESP,DF,Southampton,19-034,2004,1.7,1,0.59,1,0,0,0,0,0,1,0.59,1,0,0,0,0,0,cf7fb13a
276,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-096,1993,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450ab6fc
277,Roméo Lavia,be BEL,MF,Southampton,19-040,2004,9.9,13,1.31,11,1,0,0,1,0,0,0,0,0,0,0,0,0,ecad9aa5
278,Dexter Lembikisa,jm JAM,DF,Wolves,19-103,2003,0.3,1,3.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0bdda685
279,Mario Lemina,ga GAB,MF,Wolves,29-167,1993,2.1,2,0.94,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2b471f99
280,Clément Lenglet,fr FRA,DF,Tottenham,27-243,1995,10.4,11,1.06,10,0,0,0,1,0,3,0.29,3,0,0,0,0,0,4f28a6ff
281,Bernd Leno,de GER,GK,Fulham,30-348,1992,21,2,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2628fd2b
282,Jefferson Lerma,co COL,MFDF,Bournemouth,28-113,1994,21.9,28,1.28,24,2,0,2,0,0,0,0,0,0,0,0,0,0,9b5ce51a
283,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-021,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,efb9215a
284,Rico Lewis,eng ENG,DFMF,Manchester City,18-086,2004,5,11,2.19,9,1,0,0,1,0,0,0,0,0,0,0,0,0,b57e066e
285,Keane Lewis-Potter,eng ENG,FWMF,Brentford,21-358,2001,3.4,8,2.35,2,0,2,4,0,0,2,0.59,0,0,0,2,0,0,41f08ac8
286,Victor Lindelöf,se SWE,DF,Manchester Utd,28-213,1994,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f5deef4c
287,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-062,1992,9.6,24,2.51,18,1,1,3,1,0,2,0.21,1,0,0,1,0,0,810e3c74
288,Diego Llorente,es ESP,DF,Leeds United,29-183,1993,7.2,6,0.83,5,0,0,1,0,0,1,0.14,1,0,0,0,0,0,bba30585
289,Hugo Lloris,fr FRA,GK,Tottenham,36-051,1986,21,5,0.24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8f62b6ee
290,Renan Lodi,br BRA,DF,Nott'ham Forest,24-313,1998,12.2,19,1.56,14,3,0,1,1,0,1,0.08,0,0,0,1,0,0,ed9f7cfe
291,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-023,1996,11.5,22,1.92,17,0,3,1,1,0,2,0.17,2,0,0,0,0,0,e97fd090
292,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-108,1997,18.7,44,2.35,33,1,0,6,4,0,4,0.21,3,0,0,1,0,0,a2b105e0
293,Jamal Lowe,jm JAM,MFFW,Bournemouth,28-209,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b2856bc0
294,Douglas Luiz,br BRA,MF,Aston Villa,24-282,1998,16.9,55,3.25,37,12,2,1,1,2,7,0.41,4,1,0,0,0,2,6f7d826d
