index,player,nation,pos,squad,age,born,avg_90s_played,sca,Sca_90,pass_live,pass_dead,to,sh,fld,sca_def,gca,Gca_90,pass_live_goa,pass_dead_goal,to_goal,sh_goal,fld_goal,def_goal,unique_id
205,Gonçalo Guedes,pt POR,FWMF,Wolves,26-119,1996,7.9,27,3.44,15,3,1,2,5,1,1,0.13,1,0,0,0,0,0,e6bc67d7
206,Marc Guéhi,eng ENG,DF,Crystal Palace,22-258,2000,27,19,0.7,15,1,0,2,1,0,1,0.04,1,0,0,0,0,0,d0706b27
207,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-132,1997,18.5,55,2.97,42,1,1,1,8,2,7,0.38,6,0,0,0,0,1,82518f62
208,İlkay Gündoğan,de GER,MF,Manchester City,32-155,1990,19.5,77,3.95,59,7,1,4,4,2,15,0.77,11,1,0,1,2,0,819b3158
209,Darko Gyabi,eng ENG,FW,Leeds United,19-038,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56d838f7
210,Erling Haaland,no NOR,FW,Manchester City,22-250,2000,23.5,49,2.09,34,0,2,7,5,1,11,0.47,9,0,0,1,1,0,1f44ac21
211,Lewis Hall,eng ENG,DFMF,Chelsea,18-201,2004,3.4,12,3.55,7,2,0,1,2,0,0,0,0,0,0,0,0,0,da011f18
212,Luke Harris,wls WAL,MFFW,Fulham,17-359,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8c3078cd
213,Jack Harrison,eng ENG,FWMF,Leeds United,26-128,1996,20.4,83,4.07,47,21,4,4,5,2,7,0.34,4,1,1,1,0,0,aa849a12
214,Kai Havertz,de GER,FWMF,Chelsea,23-290,1999,22,47,2.14,40,2,1,3,1,0,4,0.18,3,0,0,1,0,0,fed7cb61
215,Jan Paul van Hecke,nl NED,DF,Brighton,22-293,2000,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4fd08daa
216,Hwang Hee-chan,kr KOR,FW,Wolves,27-061,1996,7.9,18,2.27,16,0,1,0,1,0,2,0.25,2,0,0,0,0,0,169fd162
217,Dean Henderson,eng ENG,GK,Nott'ham Forest,26-016,1997,18,3,0.17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,e5a76dfe
218,Jordan Henderson,eng ENG,MF,Liverpool,32-284,1990,14,38,2.71,34,1,0,2,0,1,2,0.14,2,0,0,0,0,0,935e6b8f
219,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-063,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76eca7e2
220,Rico Henry,eng ENG,DF,Brentford,25-263,1997,25.7,30,1.17,27,0,0,1,1,1,3,0.12,3,0,0,0,0,0,8a3c1dc7
221,Son Heung-min,kr KOR,MFFW,Tottenham,30-263,1992,22.5,92,4.08,52,25,5,6,4,0,10,0.44,6,2,2,0,0,0,92e7e919
222,Aaron Hickey,sct SCO,DF,Brentford,20-291,2002,12.8,11,0.86,7,1,0,2,1,0,1,0.08,0,0,0,1,0,0,1780bb4a
223,Joseph Hodge,ie IRL,MF,Wolves,20-195,2002,1.9,2,1.07,2,0,0,0,0,0,0,0,0,0,0,0,0,0,bd8a5d95
224,Rob Holding,eng ENG,DF,Arsenal,27-189,1995,1.2,3,2.45,1,0,1,1,0,0,0,0,0,0,0,0,0,0,d79a8c87
225,Mason Holgate,eng ENG,DFMF,Everton,26-157,1996,4.1,6,1.48,5,0,0,1,0,0,2,0.49,2,0,0,0,0,0,d0042ab9
226,Will Hughes,eng ENG,MF,Crystal Palace,27-345,1995,4.6,6,1.29,4,2,0,0,0,0,0,0,0,0,0,0,0,0,a0666d3e
227,Omari Hutchinson,eng ENG,FW,Chelsea,19-149,2003,0.3,1,3.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,bd9553e6
